field_110701_S,horseRightRein,0.0,
field_110702_R,horseLeftRein,0.0,
field_110703_f,muleLeftEar,0.0,The left ear box for the mule model.
field_110704_g,muleRightEar,0.0,The right ear box for the mule model.
field_110705_d,horseLeftEar,0.0,
field_110706_e,horseRightEar,0.0,
field_110707_b,mouthTop,0.0,
field_110708_c,mouthBottom,0.0,
field_110709_a,head,0.0,
field_110710_n,tailTip,0.0,
field_110711_o,backLeftLeg,0.0,
field_110712_l,tailBase,0.0,
field_110713_m,tailMiddle,0.0,
field_110714_j,mane,0.0,
field_110715_k,body,0.0,
field_110716_h,neck,0.0,
field_110717_i,horseFaceRopes,0.0,The box for the horse's ropes on its face.
field_110718_w,backLeftHoof,0.0,
field_110719_v,backLeftShin,0.0,
field_110720_z,backRightHoof,0.0,
field_110721_y,backRightShin,0.0,
field_110722_x,backRightLeg,0.0,
field_110737_b,particleTextures,0.0,
field_110778_a,shadowTextures,0.0,
field_110780_a,arrowTextures,0.0,
field_110782_f,boatTextures,0.0,
field_110785_a,experienceOrbTextures,0.0,
field_110787_a,enderCrystalTextures,0.0,
field_110789_a,mapBackgroundTextures,0.0,
field_110798_h,RES_ITEM_GLINT,0.0,
field_110801_f,leashKnotModel,0.0,
field_110802_a,leashKnotTextures,0.0,
field_110804_g,minecartTextures,0.0,
field_110810_f,witherTextures,0.0,
field_110811_a,invulnerableWitherTextures,0.0,
field_110814_a,RES_ITEM_GLINT,0.0,
field_110826_a,steveTextures,0.0,
field_110830_f,creeperTextures,0.0,
field_110831_a,armoredCreeperTextures,0.0,
field_110833_a,cowTextures,0.0,
field_110835_a,batTextures,0.0,
field_110837_a,blazeTextures,0.0,
field_110839_f,endermanTextures,0.0,
field_110840_a,endermanEyesTexture,0.0,
field_110842_f,enderDragonExplodingTextures,0.0,
field_110843_g,enderDragonCrystalBeamTextures,0.0,
field_110844_k,enderDragonTextures,0.0,
field_110845_h,enderDragonEyesTextures,0.0,
field_110850_f,whiteHorseTextures,0.0,
field_110851_g,muleTextures,0.0,
field_110853_l,skeletonHorseTextures,0.0,
field_110854_k,zombieHorseTextures,0.0,
field_110855_h,donkeyTextures,0.0,
field_110861_l,witherSkeletonTextures,0.0,
field_110862_k,skeletonTextures,0.0,
field_110864_q,zombieVillagerTextures,0.0,
field_110865_p,zombieTextures,0.0,
field_110866_o,zombiePigmanTextures,0.0,
field_110868_f,ghastShootingTextures,0.0,
field_110869_a,ghastTextures,0.0,
field_110871_a,zombieTextures,0.0,
field_110873_a,magmaCubeTextures,0.0,
field_110875_f,ocelotTextures,0.0,
field_110876_g,redOcelotTextures,0.0,
field_110877_a,blackOcelotTextures,0.0,
field_110878_h,siameseOcelotTextures,0.0,
field_110880_a,mooshroomTextures,0.0,
field_110882_a,silverfishTextures,0.0,
field_110884_f,shearedSheepTextures,0.0,
field_110885_a,sheepTextures,0.0,
field_110887_f,pigTextures,0.0,
field_110888_a,saddledPigTextures,0.0,
field_110890_f,spiderTextures,0.0,
field_110891_a,spiderEyesTextures,0.0,
field_110893_a,caveSpiderTextures,0.0,
field_110895_a,snowManTextures,0.0,
field_110897_a,slimeTextures,0.0,
field_110899_a,ironGolemTextures,0.0,
field_110901_a,squidTextures,0.0,
field_110903_f,villagerTextures,0.0,
field_110904_g,farmerVillagerTextures,0.0,
field_110905_l,smithVillagerTextures,0.0,
field_110906_m,butcherVillagerTextures,0.0,
field_110907_k,priestVillagerTextures,0.0,
field_110908_h,librarianVillagerTextures,0.0,
field_110910_a,witchTextures,0.0,
field_110912_f,witherTextures,0.0,
field_110913_a,invulnerableWitherTextures,0.0,
field_110915_f,tamedWolfTextures,0.0,
field_110916_g,anrgyWolfTextures,0.0,
field_110917_a,wolfTextures,0.0,
field_110918_h,wolfCollarTextures,0.0,
field_110920_a,chickenTextures,0.0,
field_110922_T,locationLightMap,0.0,
field_110923_r,locationSnowPng,0.0,
field_110924_q,locationRainPng,0.0,
field_110925_j,locationCloudsPng,0.0,
field_110926_k,locationEndSkyPng,0.0,
field_110927_h,locationMoonPhasesPng,0.0,
field_110928_i,locationSunPng,0.0,
field_110929_d,RES_UNDERWATER_OVERLAY,0.0,
field_110930_b,RES_ITEM_GLINT,0.0,
field_110931_c,RES_MAP_BACKGROUND,0.0,
field_110973_g,frameCounter,0.0,
field_110974_d,originY,0.0,
field_110975_c,originX,0.0,
field_110976_a,framesTextureData,0.0,
field_110977_n,minV,0.0,
field_110978_o,maxV,0.0,
field_110979_l,minU,0.0,
field_110980_m,maxU,0.0,
field_110982_k,animationMetadata,0.0,
field_110983_h,tickCounter,0.0,
field_110984_i,iconName,0.0,
field_110999_b,missingTextureData,0.0,
field_111000_c,dataBuffer,0.0,
field_111001_a,missingTexture,0.0,
field_111053_a,numericVariablePattern,2.0,"Pattern that matches numeric variable placeholders in a resource string, such as ""%d"", ""%3$d"", ""%.2f"""
field_111113_b,defaultValue,2.0,
field_111114_c,shouldWatch,2.0,
field_111115_a,unlocalizedName,2.0,
field_111118_b,maximumValue,2.0,
field_111119_c,description,2.0,
field_111120_a,minimumValue,2.0,
field_111132_f,baseValue,2.0,
field_111133_g,needsUpdate,2.0,
field_111134_d,mapByName,2.0,
field_111135_e,mapByUUID,2.0,
field_111136_b,genericAttribute,2.0,The Attribute this is an instance of
field_111137_c,mapByOperation,2.0,
field_111138_a,attributeMap,2.0,The BaseAttributeMap this attributeInstance can be found in
field_111139_h,cachedValue,2.0,
field_111153_b,attributesByName,2.0,
field_111154_a,attributes,2.0,
field_111162_d,attributeInstanceSet,2.0,
field_111163_c,descriptionToAttributeInstanceMap,2.0,
field_111170_d,id,2.0,
field_111171_e,isSaved,2.0,"If false, this modifier is not saved in NBT. Used for ""natural"" modifiers like speed boost from sprinting"
field_111172_b,operation,2.0,
field_111173_c,name,2.0,
field_111174_a,amount,2.0,
field_111180_a,horseHost,2.0,
field_111188_I,attributeModifierMap,2.0,Contains a Map of the AttributeModifiers registered by potions
field_111192_g,previousTotalWorldTime,2.0,time what is using to check if InhabitedTime should be calculated
field_111193_e,playerInstanceList,2.0,This field is using when chunk should be processed (every 8000 ticks)
field_111198_g,previousWorldTime,2.0,time what is using when chunk InhabitedTime is being calculated
field_111203_a,moonPhaseFactors,2.0,
field_111204_q,inhabitedTime,2.0,the cumulative number of ticks players have been in this chunk
field_111210_e,itemModifierUUID,2.0,
field_111218_cA,iconString,2.0,The string associated with this Item's Icon.
field_111230_s,enchantmentTypes,2.0,
field_111242_f,theHorse,2.0,
field_111263_d,movementSpeed,2.0,
field_111264_e,attackDamage,2.0,
field_111265_b,followRange,2.0,
field_111266_c,knockbackResistance,2.0,
field_111267_a,maxHealth,2.0,
field_111273_g,locationFontTexture,0.0,
field_111274_c,unicodePageLocations,0.0,
field_120021_b,server,1.0,
field_130070_K,fileResourcepacks,0.0,
field_130074_a,joinerResourcePacks,0.0,
field_130089_b,mapResourceLocations,0.0,
field_130222_e,rotated,0.0,
field_130223_c,width,0.0,
field_130224_d,height,0.0,
field_135017_as,mcLanguageManager,0.0,
field_135019_a,languages,0.0,
field_135030_b,splitter,0.0,"Splits on ""="""
field_135036_d,bidirectional,0.0,
field_135037_b,region,0.0,
field_135038_c,name,0.0,
field_135039_a,languageCode,0.0,
field_135046_d,languageMap,0.0,
field_135047_b,theMetadataSerializer,0.0,
field_135048_c,currentLanguage,0.0,
field_135049_a,currentLocale,0.0,
field_135054_a,i18nLocale,0.0,
field_135057_d,setResourceDomains,0.0,
field_135059_Q,animalSpawner,2.0,
field_135065_b,equalSignSplitter,2.0,"A Splitter that splits a string on the first ""="".  For example, ""a=b=c"" would split into [""a"", ""b=c""]."
field_142016_bo,lastAttackerTime,2.0,Holds the value of ticksExisted when setLastAttacker was last called.
field_142022_ce,clientBrand,0.0,
field_142025_a,isRunningOnMac,0.0,
field_142052_b,revengeTimerOld,2.0,Store the previous revengeTimer value
field_143005_bX,playerLastActiveTime,2.0,
field_143008_E,maxPlayerIdleMinutes,2.0,
field_145761_f,customName,2.0,"The custom name of the command block. (defaults to ""@"")"
field_145762_d,lastOutput,2.0,The previously run command.
field_145763_e,Command,2.0,The command stored in the command block.
field_145764_b,successCount,2.0,The number of successful commands run. (used for redstone output)
field_145765_c,trackOutput,2.0,
field_145766_a,timestampFormat,2.0,The formatting for the timestamp on commands run.
field_145783_c,entityId,2.0,
field_145785_f,inBlock,2.0,
field_145786_d,yTile,2.0,
field_145787_e,zTile,2.0,
field_145788_c,xTile,2.0,
field_145803_d,logger,2.0,
field_145804_b,delayBeforeCanPickup,2.0,
field_145809_g,hurtEntities,2.0,
field_145810_d,tileEntityData,2.0,
field_145811_e,blockObj,2.0,
field_145812_b,fallTime,2.0,
field_145813_c,shouldDropItem,2.0,
field_145814_a,metadata,2.0,
field_145815_h,fallHurtMax,2.0,
field_145816_i,fallHurtAmount,2.0,
field_145846_f,tileEntityInvalid,2.0,
field_145847_g,blockMetadata,2.0,
field_145848_d,yCoord,2.0,
field_145849_e,zCoord,2.0,
field_145850_b,worldObj,2.0,the instance of the world the tile entity is in.
field_145851_c,xCoord,2.0,
field_145852_a,logger,2.0,
field_145853_j,classToNameMap,2.0,A HashMap storing the classes and mapping to the string names (reverse of nameToClassMap).
field_145854_h,blockType,2.0,the Block type that this TileEntity is contained within
field_145855_i,nameToClassMap,2.0,A HashMap storing string names of classes mapping to the actual java.lang.Class type.
field_145869_a,storedBlock,2.0,
field_145870_n,lastProgress,2.0,the progress in (de)extending
field_145871_o,pushedObjects,2.0,
field_145872_l,shouldHeadBeRendered,2.0,
field_145873_m,progress,2.0,
field_145874_j,storedOrientation,2.0,the side the front of the piston is on
field_145875_k,extending,2.0,if this piston is extending or not
field_145876_i,storedMetadata,2.0,
field_145879_a,note,2.0,Note to play
field_145880_i,previousRedstoneState,2.0,stores the latest redstone state
field_145901_j,transferCooldown,2.0,
field_145908_a,skullType,2.0,
field_145910_i,skullRotation,2.0,
field_145915_a,signText,2.0,
field_145916_j,isEditable,2.0,
field_145918_i,lineBeingEdited,2.0,"The index of the line currently being edited. Only used on client side, but defined on both. Note this is only really used when the > < are going to be visible."
field_145925_p,bookRotationPrev,2.0,
field_145926_a,tickCount,2.0,
field_145927_n,bookSpreadPrev,2.0,
field_145928_o,bookRotation,2.0,
field_145930_m,bookSpread,2.0,
field_145931_j,pageFlipPrev,2.0,
field_145933_i,pageFlip,2.0,
field_145941_a,inputSlots,2.0,an array of the input slot indices
field_145943_l,filledSlots,2.0,an integer with each bit specifying whether that slot of the stand contains a potion
field_145944_m,ingredientID,2.0,used to check if the current ingredient has been removed from the brewing stand during brewing
field_145945_j,brewingItemStacks,2.0,The ItemStacks currently placed in the slots of the brewing stand
field_145946_k,brewTime,2.0,
field_145947_i,outputSlots,2.0,an array of the output slot indices
field_145956_a,furnaceBurnTime,2.0,The number of ticks that the furnace will keep burning
field_145957_n,furnaceItemStacks,2.0,The ItemStacks that hold the items currently being used in the furnace
field_145958_o,furnaceCustomName,2.0,
field_145959_l,slotsBottom,2.0,
field_145960_m,slotsSides,2.0,
field_145961_j,furnaceCookTime,2.0,The number of ticks that the current item has been cooking for
field_145962_k,slotsTop,2.0,
field_145963_i,currentItemBurnTime,2.0,The number of ticks that a fresh copy of the currently-burning item would keep the furnace burning for
field_145967_a,flowerPotItem,2.0,
field_145968_i,flowerPotData,2.0,
field_145975_i,prevLidAngle,2.0,The angle of the ender chest lid last tick
field_145981_s,customName,2.0,
field_145982_r,cachedChestType,2.0,
field_145983_q,ticksSinceSync,2.0,Server sync counter (once per 20 ticks)
field_145984_a,adjacentChestChecked,2.0,Determines if the check for adjacent chests has taken place.
field_145985_p,chestContents,2.0,
field_145986_n,prevLidAngle,2.0,The angle of the lid last tick
field_145987_o,numPlayersUsing,2.0,The number of players currently using this chest
field_145988_l,adjacentChestZPos,2.0,Contains the chest tile located adjacent to this one (if any)
field_145989_m,lidAngle,2.0,The current angle of the lid (between 0 and 1)
field_145990_j,adjacentChestXPos,2.0,Contains the chest tile located adjacent to this one (if any)
field_145991_k,adjacentChestXNeg,2.0,Contains the chest tile located adjacent to this one (if any)
field_145992_i,adjacentChestZNeg,2.0,Contains the chest tile located adjacent to this one (if any)
field_145997_a,outputSignal,2.0,
field_146009_a,effectsList,2.0,List of effects that Beacon can apply
field_146010_n,secondaryEffect,2.0,Secondary potion effect given by this beacon.
field_146011_o,payment,2.0,Item given to this beacon as payment.
field_146012_l,levels,2.0,Level of this beacon's pyramid.
field_146013_m,primaryEffect,2.0,Primary potion effect given by this beacon.
field_146015_k,isComplete,2.0,
field_146036_f,FISH,2.0,
field_146037_g,xTile,2.0,
field_146038_az,ticksCatchableDelay,2.0,
field_146039_d,JUNK,2.0,
field_146040_ay,ticksCaughtDelay,2.0,
field_146041_e,VALUABLES,2.0,
field_146042_b,angler,2.0,
field_146043_c,caughtEntity,2.0,
field_146044_a,shake,2.0,
field_146045_ax,ticksCatchable,2.0,
field_146046_j,inTile,2.0,
field_146047_aw,ticksInAir,2.0,
field_146048_h,yTile,2.0,
field_146049_av,ticksInGround,2.0,
field_146050_i,zTile,2.0,
field_146051_au,inGround,2.0,
field_146052_aI,clientMotionY,0.0,
field_146053_aJ,clientMotionZ,0.0,
field_146054_aA,fishApproachAngle,2.0,
field_146055_aB,fishPosRotationIncrements,2.0,
field_146056_aC,fishX,2.0,
field_146057_aD,fishY,2.0,
field_146058_aE,fishZ,2.0,
field_146059_aF,fishYaw,2.0,
field_146060_aG,fishPitch,2.0,
field_146061_aH,clientMotionX,0.0,
field_146084_br,playerInLove,2.0,
field_146087_bs,entityAIEatGrass,2.0,
field_146106_i,gameProfile,2.0,The player's unique game profile
field_146109_a,mc,0.0,
field_146120_f,width,0.0,Button width in pixels
field_146121_g,height,0.0,Button height in pixels
field_146122_a,buttonTextures,0.0,
field_146123_n,hovered,0.0,
field_146124_l,enabled,0.0,"True if this control is enabled, false to disable."
field_146125_m,visible,0.0,Hides the button completely if false.
field_146126_j,displayString,0.0,The string displayed on this control.
field_146127_k,id,0.0,
field_146128_h,xPosition,0.0,The x position of this control.
field_146129_i,yPosition,0.0,The y position of this control.
field_146133_q,options,0.0,
field_146134_p,sliderValue,0.0,
field_146135_o,dragging,0.0,
field_146137_o,enumOptions,0.0,
field_146164_r,fontRenderer,0.0,
field_146170_l,centered,0.0,
field_146171_m,labelBgEnabled,0.0,
field_146172_j,visible,0.0,
field_146209_f,xPosition,0.0,
field_146210_g,yPosition,0.0,
field_146211_a,fontRendererInstance,0.0,
field_146212_n,canLoseFocus,0.0,if true the textbox can lose focus by clicking elsewhere on the screen
field_146213_o,isFocused,0.0,"If this value is true along with isEnabled, keyTyped will process the keys."
field_146214_l,cursorCounter,0.0,
field_146215_m,enableBackgroundDrawing,0.0,
field_146216_j,text,0.0,Has the current text being edited on the textbox.
field_146217_k,maxStringLength,0.0,
field_146218_h,width,0.0,The width of this text field.
field_146219_i,height,0.0,
field_146220_v,visible,0.0,True if this textbox is visible
field_146221_u,disabledColor,0.0,
field_146222_t,enabledColor,0.0,
field_146223_s,selectionEnd,0.0,"other selection position, maybe the same as the cursor"
field_146224_r,cursorPosition,0.0,
field_146225_q,lineScrollOffset,0.0,The current character index that should be used as start of the rendered text.
field_146226_p,isEnabled,0.0,"If this value is true along with isFocused, keyTyped will process the keys."
field_146247_f,mc,0.0,
field_146248_g,sentMessages,0.0,A list of messages previously sent through the chat GUI
field_146249_a,logger,0.0,
field_146250_j,scrollPos,0.0,
field_146251_k,isScrolled,0.0,
field_146252_h,chatLines,0.0,Chat lines to be displayed in the chat box
field_146259_f,mc,0.0,
field_146260_g,width,0.0,
field_146261_a,achievementBg,0.0,
field_146262_n,permanentNotification,0.0,
field_146263_l,notificationTime,0.0,
field_146264_m,renderItem,0.0,
field_146265_j,achievementDescription,0.0,
field_146266_k,theAchievement,0.0,
field_146267_h,height,0.0,
field_146268_i,achievementTitle,0.0,
field_146287_f,eventButton,0.0,
field_146288_g,lastMouseEvent,0.0,
field_146289_q,fontRendererObj,0.0,The FontRenderer used by GuiScreen
field_146290_a,selectedButton,0.0,The button that was just pressed.
field_146291_p,allowUserInput,0.0,
field_146292_n,buttonList,0.0,A list of all the buttons in this container.
field_146293_o,labelList,0.0,A list of all the labels in this container.
field_146294_l,width,0.0,The width of the screen object.
field_146295_m,height,0.0,The height of the screen object.
field_146296_j,itemRender,0.0,"Holds a instance of RenderItem, used to draw the achievement icons on screen (is based on ItemStack)"
field_146297_k,mc,0.0,Reference to the Minecraft object.
field_146298_h,touchValue,0.0,"Incremented when the game is in touchscreen mode and the screen is tapped, decremented if the screen isn't tapped. Does not appear to be used."
field_146304_f,message,0.0,
field_146305_g,multilineMessage,0.0,
field_146306_a,reason,0.0,
field_146307_h,parentScreen,0.0,
field_146308_f,serverIPField,0.0,
field_146309_g,serverNameField,0.0,
field_146310_a,parentScreen,0.0,
field_146311_h,serverData,0.0,
field_146349_a,logger,0.0,
field_146351_f,messageLine1,0.0,
field_146352_g,confirmButtonText,0.0,The text shown for the first button in GuiYesNo
field_146353_s,ticksUntilEnable,0.0,
field_146354_r,messageLine2,0.0,
field_146355_a,parentScreen,0.0,A reference to the screen object that created this. Used for navigating between screens.
field_146356_h,cancelButtonText,0.0,The text shown for the second button in GuiYesNo
field_146357_i,parentButtonClickedId,0.0,
field_146360_u,showSecurityWarning,0.0,
field_146361_t,linkText,0.0,
field_146362_s,copyLinkButtonText,0.0,Label for the Copy to Clipboard button.
field_146363_r,openLinkWarning,0.0,Text to warn players from opening unsafe links.
field_146370_f,logger,0.0,
field_146371_g,networkManager,0.0,
field_146372_a,CONNECTION_ID,0.0,
field_146373_h,cancel,0.0,
field_146374_i,previousGuiScreen,0.0,
field_146385_f,createWorldGui,0.0,
field_146387_g,theFlatGeneratorInfo,0.0,
field_146390_s,createFlatWorldListSlotGui,0.0,
field_146400_h,game_settings,0.0,
field_146408_f,logger,0.0,
field_146409_v,defaultInputFieldText,0.0,is the text that appears when you press the chat key and the input box appears pre-filled
field_146410_g,historyBuffer,0.0,
field_146411_u,clickedURI,0.0,used to pass around the URI to various dialogues and to the host os
field_146412_t,foundPlayerNames,0.0,
field_146413_s,autocompleteIndex,0.0,
field_146414_r,waitingOnAutocomplete,0.0,
field_146415_a,inputField,0.0,Chat entry field
field_146416_h,sentHistoryCursor,0.0,"keeps position of which chat message you will select when you press up, (does not increase for duplicated messages sent immediately after each other)"
field_146417_i,playerNamesFound,0.0,
field_146443_h,game_settings_1,0.0,Reference to the GameSettings object.
field_146451_g,game_settings_3,0.0,Reference to the GameSettings object.
field_146465_D,buttonSign,0.0,The GuiButton to sign this book.
field_146466_f,bookGuiTextures,0.0,
field_146467_E,buttonFinalize,0.0,
field_146468_g,editingPlayer,0.0,The player editing the book
field_146469_F,buttonCancel,0.0,
field_146470_A,buttonNextPage,0.0,
field_146471_B,buttonPreviousPage,0.0,
field_146472_C,buttonDone,0.0,
field_146473_a,logger,0.0,
field_146474_h,bookObj,0.0,
field_146475_i,bookIsUnsigned,0.0,Whether the book is signed or can still be edited
field_146476_w,bookTotalPages,0.0,
field_146477_v,bookImageHeight,0.0,
field_146478_u,bookImageWidth,0.0,
field_146479_t,updateCount,0.0,Update ticks since the gui was opened
field_146480_s,bookGettingSigned,0.0,Determines if the signing screen is open
field_146481_r,bookIsModified,0.0,Whether the book's title or contents has been modified since being opened
field_146482_z,bookTitle,0.0,
field_146483_y,bookPages,0.0,
field_146484_x,currPage,0.0,
field_146485_f,commandTextField,0.0,Text field containing the command block's command.
field_146487_r,cancelBtn,0.0,
field_146489_h,localCommandBlock,0.0,Command block being edited.
field_146490_i,doneBtn,0.0,"""Done"" button for the GUI."
field_146491_f,buttonId,0.0,The ID of the button that has been pressed.
field_146492_g,optionsArr,0.0,
field_146493_s,buttonReset,0.0,
field_146494_r,keyBindingList,0.0,
field_146495_a,screenTitle,0.0,
field_146496_h,parentScreen,0.0,A reference to the screen object that created this. Used for navigating between screens.
field_146497_i,options,0.0,Reference to the GameSettings object.
field_146498_f,parentGuiScreen,0.0,
field_146499_g,guiGameSettings,0.0,
field_146500_a,screenTitle,0.0,
field_146501_h,optionsRowList,0.0,
field_146502_i,videoOptions,0.0,An array of all of GameSettings.Options's video options.
field_146506_g,game_settings_4,0.0,Reference to the GameSettings object.
field_146510_b_,lanSearchStates,0.0,
field_146542_f,screenTitle,0.0,
field_146543_v,doesGuiPauseGame,0.0,"When true, the game will be paused when the gui is shown"
field_146544_g,renderItem,0.0,
field_146545_u,displaySlot,0.0,
field_146547_s,mobStats,0.0,
field_146548_r,blockStats,0.0,
field_146549_a,parentScreen,0.0,
field_146550_h,generalStats,0.0,
field_146551_i,itemStats,0.0,
field_146556_E,statFileWriter,0.0,
field_146558_F,loadingAchievements,0.0,
field_146562_a,parentScreen,0.0,
field_146580_a,logger,0.0,
field_146593_f,progress,0.0,
field_146594_a,netHandlerPlayClient,0.0,
field_146603_f,game_settings_2,0.0,Reference to the GameSettings object.
field_146629_g,logger,0.0,
field_146797_f,oldServerPinger,0.0,
field_146798_g,parentScreen,0.0,
field_146799_A,lanServerList,0.0,
field_146800_B,lanServerDetector,0.0,
field_146801_C,initialized,0.0,
field_146802_a,logger,0.0,
field_146803_h,serverListSelector,0.0,
field_146804_i,savedServerList,0.0,
field_146805_w,editingServer,0.0,
field_146806_v,addingServer,0.0,
field_146807_u,deletingServer,0.0,
field_146808_t,btnDeleteServer,0.0,
field_146809_s,btnSelectServer,0.0,
field_146810_r,btnEditServer,0.0,
field_146811_z,selectedServer,0.0,
